"","states","year","statesAbbr","disease","datatype","deathpop","class","population","ratio"
"675","New York",2012,"NY","Cerebrovascular disease","Nmbr",3695,"Female",9977600.49128,0.0370329519931097
"676","North Carolina",2012,"NC","Cardiovascular disease","Nmbr",11910,"Female",4960064.04648,0.240117867196738
"677","North Carolina",2012,"NC","Cerebrovascular disease","Nmbr",2606,"Female",4960064.04648,0.0525396441574055
"678","North Carolina",2012,"NC","Chronic obstructive pulmonary disease","Nmbr",4583,"Female",4960064.04648,0.0923980004502645
"679","North Carolina",2012,"NC","Heart failure","Nmbr",4836,"Female",4960064.04648,0.097498741038071
"680","North Carolina",2012,"NC","Coronary heart disease","Nmbr",4603,"Female",4960064.04648,0.0928012210500911
"681","North Dakota",2012,"ND","Coronary heart disease","Nmbr",396,"Female",357368.6132,0.110809955148014
"682","North Dakota",2012,"ND","Heart failure","Nmbr",527,"Female",357368.6132,0.147466783744958
"683","North Dakota",2012,"ND","Cardiovascular disease","Nmbr",986,"Female",357368.6132,0.275905595393793
"684","North Dakota",2012,"ND","Cerebrovascular disease","Nmbr",212,"Female",357368.6132,0.059322501240856
"685","North Dakota",2012,"ND","Chronic obstructive pulmonary disease","Nmbr",333,"Female",357368.6132,0.0931810986471937
"686","Ohio",2012,"OH","Chronic obstructive pulmonary disease","Nmbr",6933,"Female",5878471.33304,0.11793882469126
"687","Ohio",2012,"OH","Cardiovascular disease","Nmbr",17810,"Female",5878471.33304,0.302969921787298
"688","Ohio",2012,"OH","Coronary heart disease","Nmbr",7408,"Female",5878471.33304,0.126019156687271
"689","Ohio",2012,"OH","Heart failure","Nmbr",7100,"Female",5878471.33304,0.120779699308805
"690","Ohio",2012,"OH","Cerebrovascular disease","Nmbr",3417,"Female",5878471.33304,0.0581273566955191
"691","Oklahoma",2012,"OK","Cerebrovascular disease","Nmbr",1109,"Female",1942740.48952,0.0570843098181376
"692","Oklahoma",2012,"OK","Cardiovascular disease","Nmbr",5890,"Female",1942740.48952,0.30317996828569
"693","Oklahoma",2012,"OK","Coronary heart disease","Nmbr",2792,"Female",1942740.48952,0.143714511282453
"694","Oklahoma",2012,"OK","Heart failure","Nmbr",2637,"Female",1942740.48952,0.135736091064408
"695","Oklahoma",2012,"OK","Chronic obstructive pulmonary disease","Nmbr",2491,"Female",1942740.48952,0.128220933955799
"696","Oregon",2012,"OR","Heart failure","Nmbr",2427,"Female",1984349.06272,0.122307110457333
"697","Oregon",2012,"OR","Coronary heart disease","Nmbr",1252,"Female",1984349.06272,0.0630937380686365
"698","Oregon",2012,"OR","Cerebrovascular disease","Nmbr",1015,"Female",1984349.06272,0.0511502748719377
"699","Oregon",2012,"OR","Chronic obstructive pulmonary disease","Nmbr",1893,"Female",1984349.06272,0.0953965224951509
"700","Oregon",2012,"OR","Cardiovascular disease","Nmbr",4350,"Female",1984349.06272,0.219215463736876
"701","Pennsylvania",2012,"PA","Chronic obstructive pulmonary disease","Nmbr",6225,"Female",6499816.86632,0.0957719290870484
"702","Pennsylvania",2012,"PA","Heart failure","Nmbr",8308,"Female",6499816.86632,0.127818985840192
"703","Pennsylvania",2012,"PA","Coronary heart disease","Nmbr",8795,"Female",6499816.86632,0.135311504629814
"704","Pennsylvania",2012,"PA","Cerebrovascular disease","Nmbr",4063,"Female",6499816.86632,0.0625094534748076
"705","Pennsylvania",2012,"PA","Cardiovascular disease","Nmbr",21072,"Female",6499816.86632,0.324193749352977
"706","Rhode Island",2012,"RI","Chronic obstructive pulmonary disease","Nmbr",599,"Female",535541.74984,0.111849356316097
"707","Rhode Island",2012,"RI","Coronary heart disease","Nmbr",833,"Female",535541.74984,0.155543428733403
"708","Rhode Island",2012,"RI","Cardiovascular disease","Nmbr",1550,"Female",535541.74984,0.289426548063355
"709","Rhode Island",2012,"RI","Heart failure","Nmbr",720,"Female",535541.74984,0.134443299745558
"710","Rhode Island",2012,"RI","Cerebrovascular disease","Nmbr",265,"Female",535541.74984,0.0494826033785736
"711","South Carolina",2012,"SC","Chronic obstructive pulmonary disease","Nmbr",2135,"Female",2402596.00808,0.0888622137396355
"712","South Carolina",2012,"SC","Cerebrovascular disease","Nmbr",1326,"Female",2402596.00808,0.0551903023038673
"713","South Carolina",2012,"SC","Heart failure","Nmbr",2458,"Female",2402596.00808,0.102306005326475
"714","South Carolina",2012,"SC","Cardiovascular disease","Nmbr",6059,"Female",2402596.00808,0.252185551779134
"715","South Carolina",2012,"SC","Coronary heart disease","Nmbr",2144,"Female",2402596.00808,0.0892368085516527
"716","South Dakota",2012,"SD","Cerebrovascular disease","Nmbr",238,"Female",424727.02328,0.0560359918147001
"717","South Dakota",2012,"SD","Chronic obstructive pulmonary disease","Nmbr",432,"Female",424727.02328,0.101712388503993
"718","South Dakota",2012,"SD","Heart failure","Nmbr",538,"Female",424727.02328,0.126669594942473
"719","South Dakota",2012,"SD","Cardiovascular disease","Nmbr",1173,"Female",424727.02328,0.276177388229593
"720","South Dakota",2012,"SD","Coronary heart disease","Nmbr",534,"Female",424727.02328,0.125727813567436
"721","Tennessee",2012,"TN","Heart failure","Nmbr",3456,"Female",3285059.06472,0.105203587878094
"722","Tennessee",2012,"TN","Cardiovascular disease","Nmbr",9364,"Female",3285059.06472,0.285048147248401
"723","Tennessee",2012,"TN","Chronic obstructive pulmonary disease","Nmbr",3699,"Female",3285059.06472,0.112600715150773
"724","Tennessee",2012,"TN","Coronary heart disease","Nmbr",4434,"Female",3285059.06472,0.134974742086652
"725","Tennessee",2012,"TN","Cerebrovascular disease","Nmbr",1803,"Female",3285059.06472,0.0548848579120959
"726","Texas",2012,"TX","Cardiovascular disease","Nmbr",25056,"Female",13276547.40008,0.188723764130492
"727","Texas",2012,"TX","Heart failure","Nmbr",10905,"Female",13276547.40008,0.0821373183206825
"728","Texas",2012,"TX","Cerebrovascular disease","Nmbr",5310,"Female",13276547.40008,0.0399953379443213
"729","Texas",2012,"TX","Coronary heart disease","Nmbr",9771,"Female",13276547.40008,0.0735959410647766
"730","Texas",2012,"TX","Chronic obstructive pulmonary disease","Nmbr",9163,"Female",13276547.40008,0.0690164372097582
"731","Utah",2012,"UT","Coronary heart disease","Nmbr",545,"Female",1453535.82584,0.0374947758638865
"732","Utah",2012,"UT","Cardiovascular disease","Nmbr",2091,"Female",1453535.82584,0.143856103360343
"733","Utah",2012,"UT","Chronic obstructive pulmonary disease","Nmbr",437,"Female",1453535.82584,0.0300646184449879
"734","Utah",2012,"UT","Cerebrovascular disease","Nmbr",475,"Female",1453535.82584,0.0326789330923782
"735","Utah",2012,"UT","Heart failure","Nmbr",963,"Female",1453535.82584,0.0662522369851793
"736","Vermont",2012,"VT","Cardiovascular disease","Nmbr",793,"Female",318761.41424,0.248775405232372
"737","Vermont",2012,"VT","Cerebrovascular disease","Nmbr",180,"Female",318761.41424,0.0564685661309293
"738","Vermont",2012,"VT","Heart failure","Nmbr",377,"Female",318761.41424,0.118270274618669
"739","Vermont",2012,"VT","Chronic obstructive pulmonary disease","Nmbr",367,"Female",318761.41424,0.115133132055839
"740","Vermont",2012,"VT","Coronary heart disease","Nmbr",318,"Female",318761.41424,0.0997611334979751
"741","Virginia",2012,"VA","Cardiovascular disease","Nmbr",9097,"Female",4169444.16112,0.218182559796085
"742","Virginia",2012,"VA","Coronary heart disease","Nmbr",3237,"Female",4169444.16112,0.0776362477805788
"743","Virginia",2012,"VA","Cerebrovascular disease","Nmbr",1987,"Female",4169444.16112,0.0476562324189095
"744","Virginia",2012,"VA","Chronic obstructive pulmonary disease","Nmbr",2786,"Female",4169444.16112,0.0668194582380886
"745","Virginia",2012,"VA","Heart failure","Nmbr",3469,"Female",4169444.16112,0.0832005386317047
"746","Washington",2012,"WA","Heart failure","Nmbr",3547,"Female",3509893.95296,0.101057184277853
"747","Washington",2012,"WA","Coronary heart disease","Nmbr",2596,"Female",3509893.95296,0.073962348572119
"748","Washington",2012,"WA","Cardiovascular disease","Nmbr",6813,"Female",3509893.95296,0.194108428667892
"749","Washington",2012,"WA","Cerebrovascular disease","Nmbr",1472,"Female",3509893.95296,0.0419385890208625
"750","Washington",2012,"WA","Chronic obstructive pulmonary disease","Nmbr",2845,"Female",3509893.95296,0.0810565800029578
"751","West Virginia",2012,"WV","Cardiovascular disease","Nmbr",3383,"Female",944625.29304,0.35813142257845
"752","West Virginia",2012,"WV","Chronic obstructive pulmonary disease","Nmbr",1488,"Female",944625.29304,0.157522777652005
"753","West Virginia",2012,"WV","Coronary heart disease","Nmbr",1388,"Female",944625.29304,0.146936569476467
"754","West Virginia",2012,"WV","Cerebrovascular disease","Nmbr",690,"Female",944625.29304,0.073044836411212
"755","West Virginia",2012,"WV","Heart failure","Nmbr",1493,"Female",944625.29304,0.158052088060782
"756","Wisconsin",2012,"WI","Heart failure","Nmbr",3137,"Female",2914061.62736,0.107650434381581
"757","Wisconsin",2012,"WI","Cerebrovascular disease","Nmbr",1511,"Female",2914061.62736,0.0518520262513766
"758","Wisconsin",2012,"WI","Cardiovascular disease","Nmbr",7536,"Female",2914061.62736,0.258608120337773
"759","Wisconsin",2012,"WI","Chronic obstructive pulmonary disease","Nmbr",2321,"Female",2914061.62736,0.0796482812239875
"760","Wisconsin",2012,"WI","Coronary heart disease","Nmbr",2835,"Female",2914061.62736,0.0972868924041381
"761","Wyoming",2012,"WY","Heart failure","Nmbr",262,"Female",293664.4704,0.0892174663292192
"762","Wyoming",2012,"WY","Cerebrovascular disease","Nmbr",130,"Female",293664.4704,0.0442682084839637
"763","Wyoming",2012,"WY","Cardiovascular disease","Nmbr",591,"Female",293664.4704,0.201250086261712
"764","Wyoming",2012,"WY","Coronary heart disease","Nmbr",212,"Female",293664.4704,0.0721912322969255
"765","Wyoming",2012,"WY","Chronic obstructive pulmonary disease","Nmbr",303,"Female",293664.4704,0.1031789782357
"766","Alabama",2013,"AL","Chronic obstructive pulmonary disease","Nmbr",2374,"Female",2458161.63304,0.096576236814179
"767","Alabama",2013,"AL","Cardiovascular disease","Nmbr",7949,"Female",2458161.63304,0.323371738178563
"768","Alabama",2013,"AL","Heart failure","Nmbr",3130,"Female",2458161.63304,0.127330927223412
"769","Alabama",2013,"AL","Coronary heart disease","Nmbr",2269,"Female",2458161.63304,0.0923047520351188
"770","Alabama",2013,"AL","Cerebrovascular disease","Nmbr",1473,"Female",2458161.63304,0.0599228293291009
"771","Alaska",2013,"AK","Chronic obstructive pulmonary disease","Nmbr",195,"Female",375269.48496,0.0519626582536507
"772","Alaska",2013,"AK","Cardiovascular disease","Nmbr",394,"Female",375269.48496,0.104991217189428
"773","Alaska",2013,"AK","Coronary heart disease","Nmbr",115,"Female",375269.48496,0.0306446446111274
"774","Alaska",2013,"AK","Cerebrovascular disease","Nmbr",108,"Female",375269.48496,0.0287793184174066
"775","Alaska",2013,"AK","Heart failure","Nmbr",165,"Female",375269.48496,0.0439684031377045
"776","Arizona",2013,"AZ","Chronic obstructive pulmonary disease","Nmbr",2642,"Female",3374280.99512,0.0782981620031334
"777","Arizona",2013,"AZ","Cerebrovascular disease","Nmbr",1239,"Female",3374280.99512,0.0367189336570334
"778","Arizona",2013,"AZ","Cardiovascular disease","Nmbr",6597,"Female",3374280.99512,0.195508317462025
"779","Arizona",2013,"AZ","Heart failure","Nmbr",2275,"Female",3374280.99512,0.0674217708391857
"780","Arizona",2013,"AZ","Coronary heart disease","Nmbr",2970,"Female",3374280.99512,0.0880187513812666
"781","Arkansas",2013,"AR","Cardiovascular disease","Nmbr",4775,"Female",1505245.15816,0.317224073043153
"782","Arkansas",2013,"AR","Cerebrovascular disease","Nmbr",950,"Female",1505245.15816,0.0631126428043969
"783","Arkansas",2013,"AR","Chronic obstructive pulmonary disease","Nmbr",1598,"Female",1505245.15816,0.10616210863308
"784","Arkansas",2013,"AR","Heart failure","Nmbr",2060,"Female",1505245.15816,0.136854783344271
"785","Arkansas",2013,"AR","Coronary heart disease","Nmbr",1919,"Female",1505245.15816,0.127487538464882
"786","California",2013,"CA","Cerebrovascular disease","Nmbr",7848,"Female",19548181.45664,0.0401469569811786
"787","California",2013,"CA","Cardiovascular disease","Nmbr",40178,"Female",19548181.45664,0.205533185217864
"788","California",2013,"CA","Coronary heart disease","Nmbr",17344,"Female",19548181.45664,0.0887243656831756
"789","California",2013,"CA","Heart failure","Nmbr",15388,"Female",19548181.45664,0.0787183198300684
"790","California",2013,"CA","Chronic obstructive pulmonary disease","Nmbr",13106,"Female",19548181.45664,0.06704459966811
"791","Colorado",2013,"CO","Heart failure","Nmbr",2161,"Female",2682373.65216,0.0805629744483898
"792","Colorado",2013,"CO","Chronic obstructive pulmonary disease","Nmbr",2025,"Female",2682373.65216,0.0754928381573296
"793","Colorado",2013,"CO","Coronary heart disease","Nmbr",1444,"Female",2682373.65216,0.0538329176786094
"794","Colorado",2013,"CO","Cardiovascular disease","Nmbr",4387,"Female",2682373.65216,0.163549175800595
"795","Colorado",2013,"CO","Cerebrovascular disease","Nmbr",933,"Female",2682373.65216,0.0347826261732289
"796","Connecticut",2013,"CT","Cardiovascular disease","Nmbr",4763,"Female",1830526.85184,0.26019831368288
"797","Connecticut",2013,"CT","Cerebrovascular disease","Nmbr",817,"Female",1830526.85184,0.0446319593279264
"798","Connecticut",2013,"CT","Coronary heart disease","Nmbr",1746,"Female",1830526.85184,0.0953823757485428
"799","Connecticut",2013,"CT","Heart failure","Nmbr",1986,"Female",1830526.85184,0.108493355232879
"800","Connecticut",2013,"CT","Chronic obstructive pulmonary disease","Nmbr",1418,"Female",1830526.85184,0.0774640371199506
"801","Delaware",2013,"DE","Chronic obstructive pulmonary disease","Nmbr",453,"Female",470893.63464,0.0962000686941373
"802","Delaware",2013,"DE","Cardiovascular disease","Nmbr",1222,"Female",470893.63464,0.259506587073368
"803","Delaware",2013,"DE","Coronary heart disease","Nmbr",577,"Female",470893.63464,0.12253297933006
"804","Delaware",2013,"DE","Heart failure","Nmbr",373,"Female",470893.63464,0.0792110940903162
"805","Delaware",2013,"DE","Cerebrovascular disease","Nmbr",240,"Female",470893.63464,0.0509669238114635
"806","District of Columbia",2013,"DC","Cardiovascular disease","Nmbr",814,"Female",330537.9152,0.246265242977487
"807","District of Columbia",2013,"DC","Heart failure","Nmbr",197,"Female",330537.9152,0.0595998192463943
"808","District of Columbia",2013,"DC","Chronic obstructive pulmonary disease","Nmbr",143,"Female",330537.9152,0.0432628129555045
"809","District of Columbia",2013,"DC","Cerebrovascular disease","Nmbr",105,"Female",330537.9152,0.0317664011211746
"810","District of Columbia",2013,"DC","Coronary heart disease","Nmbr",383,"Female",330537.9152,0.115871729803904
"811","Florida",2013,"FL","Cerebrovascular disease","Nmbr",4872,"Female",9971232.36696,0.0488605602667884
"812","Florida",2013,"FL","Cardiovascular disease","Nmbr",26644,"Female",9971232.36696,0.267208696171656
"813","Florida",2013,"FL","Coronary heart disease","Nmbr",12214,"Female",9971232.36696,0.122492381588373
"814","Florida",2013,"FL","Heart failure","Nmbr",7797,"Female",9971232.36696,0.0781949483579945
"815","Florida",2013,"FL","Chronic obstructive pulmonary disease","Nmbr",9975,"Female",9971232.36696,0.100037785028985
"816","Georgia",2013,"GA","Chronic obstructive pulmonary disease","Nmbr",3365,"Female",5084506.07056,0.0661814530910646
"817","Georgia",2013,"GA","Heart failure","Nmbr",4256,"Female",5084506.07056,0.0837052791547017
"818","Georgia",2013,"GA","Cardiovascular disease","Nmbr",10824,"Female",5084506.07056,0.212882035143442
"819","Georgia",2013,"GA","Cerebrovascular disease","Nmbr",2200,"Female",5084506.07056,0.043268706329968
"820","Georgia",2013,"GA","Coronary heart disease","Nmbr",3126,"Female",5084506.07056,0.0614808981761272
"821","Hawaii",2013,"HI","Chronic obstructive pulmonary disease","Nmbr",220,"Female",716892.3332,0.0306880112691377
"822","Hawaii",2013,"HI","Heart failure","Nmbr",468,"Female",716892.3332,0.0652817694270747
"823","Hawaii",2013,"HI","Cerebrovascular disease","Nmbr",355,"Female",716892.3332,0.0495192909115631
"824","Hawaii",2013,"HI","Cardiovascular disease","Nmbr",1575,"Female",716892.3332,0.219698262494963
"825","Hawaii",2013,"HI","Coronary heart disease","Nmbr",462,"Female",716892.3332,0.0644448236651891
"826","Idaho",2013,"ID","Heart failure","Nmbr",794,"Female",820714.0308,0.0967450256974454
"827","Idaho",2013,"ID","Coronary heart disease","Nmbr",544,"Female",820714.0308,0.0662837455660079
"828","Idaho",2013,"ID","Chronic obstructive pulmonary disease","Nmbr",674,"Female",820714.0308,0.0821236112343554
"829","Idaho",2013,"ID","Cardiovascular disease","Nmbr",1619,"Female",820714.0308,0.197267250131189
"830","Idaho",2013,"ID","Cerebrovascular disease","Nmbr",332,"Female",820714.0308,0.040452580014549
"831","Illinois",2013,"IL","Heart failure","Nmbr",6538,"Female",6559249.4704,0.0996760380818584
"832","Illinois",2013,"IL","Cerebrovascular disease","Nmbr",3115,"Female",6559249.4704,0.047490189450136
"833","Illinois",2013,"IL","Cardiovascular disease","Nmbr",16344,"Female",6559249.4704,0.249174849557953
"834","Illinois",2013,"IL","Coronary heart disease","Nmbr",6287,"Female",6559249.4704,0.0958493807617993
"835","Illinois",2013,"IL","Chronic obstructive pulmonary disease","Nmbr",4998,"Female",6559249.4704,0.076197742173926
"836","Indiana",2013,"IN","Cardiovascular disease","Nmbr",9110,"Female",3343605.19984,0.272460396952246
"837","Indiana",2013,"IN","Chronic obstructive pulmonary disease","Nmbr",4131,"Female",3343605.19984,0.123549275500519
"838","Indiana",2013,"IN","Heart failure","Nmbr",4397,"Female",3343605.19984,0.131504760197478
"839","Indiana",2013,"IN","Coronary heart disease","Nmbr",3399,"Female",3343605.19984,0.101656738665278
"840","Indiana",2013,"IN","Cerebrovascular disease","Nmbr",1772,"Female",3343605.19984,0.0529966875301185
"841","Iowa",2013,"IA","Cerebrovascular disease","Nmbr",866,"Female",1573570.94912,0.0550340612531198
"842","Iowa",2013,"IA","Cardiovascular disease","Nmbr",4640,"Female",1573570.94912,0.294870720801935
"843","Iowa",2013,"IA","Chronic obstructive pulmonary disease","Nmbr",1705,"Female",1573570.94912,0.108352279949849
"844","Iowa",2013,"IA","Coronary heart disease","Nmbr",2152,"Female",1573570.94912,0.13675900671676
"845","Iowa",2013,"IA","Heart failure","Nmbr",2022,"Female",1573570.94912,0.128497542556361
"846","Kansas",2013,"KS","Cerebrovascular disease","Nmbr",794,"Female",1473019.3144,0.0539028913088908
"847","Kansas",2013,"KS","Heart failure","Nmbr",1764,"Female",1473019.3144,0.119754030565344
"848","Kansas",2013,"KS","Chronic obstructive pulmonary disease","Nmbr",1345,"Female",1473019.3144,0.0913090539174535
"849","Kansas",2013,"KS","Cardiovascular disease","Nmbr",3841,"Female",1473019.3144,0.26075693390107
"850","Kansas",2013,"KS","Coronary heart disease","Nmbr",1219,"Female",1473019.3144,0.0827551945913575
"851","Kentucky",2013,"KY","Coronary heart disease","Nmbr",2417,"Female",2238308.68,0.10798331890488
"852","Kentucky",2013,"KY","Cerebrovascular disease","Nmbr",1183,"Female",2238308.68,0.0528524063982096
"853","Kentucky",2013,"KY","Heart failure","Nmbr",2745,"Female",2238308.68,0.122637240543605
"854","Kentucky",2013,"KY","Chronic obstructive pulmonary disease","Nmbr",2877,"Female",2238308.68,0.128534550471385
"855","Kentucky",2013,"KY","Cardiovascular disease","Nmbr",6236,"Female",2238308.68,0.27860321749724
"856","Louisiana",2013,"LA","Coronary heart disease","Nmbr",2199,"Female",2354837.62008,0.0933822349893193
"857","Louisiana",2013,"LA","Heart failure","Nmbr",2283,"Female",2354837.62008,0.0969493599275198
"858","Louisiana",2013,"LA","Chronic obstructive pulmonary disease","Nmbr",1906,"Female",2354837.62008,0.0809397634786915
"859","Louisiana",2013,"LA","Cerebrovascular disease","Nmbr",1148,"Female",2354837.62008,0.0487507074887397
"860","Louisiana",2013,"LA","Cardiovascular disease","Nmbr",6408,"Female",2354837.62008,0.272120673857007
"861","Maine",2013,"ME","Chronic obstructive pulmonary disease","Nmbr",763,"Female",676188.54864,0.112838349826332
"862","Maine",2013,"ME","Heart failure","Nmbr",902,"Female",676188.54864,0.133394746452623
"863","Maine",2013,"ME","Coronary heart disease","Nmbr",691,"Female",676188.54864,0.102190432149404
"864","Maine",2013,"ME","Cardiovascular disease","Nmbr",1843,"Female",676188.54864,0.272557114980249
"865","Maine",2013,"ME","Cerebrovascular disease","Nmbr",375,"Female",676188.54864,0.0554579045673322
"866","Maryland",2013,"MD","Cardiovascular disease","Nmbr",7325,"Female",3020732.0352,0.242490890110185
"867","Maryland",2013,"MD","Chronic obstructive pulmonary disease","Nmbr",2120,"Female",3020732.0352,0.0701816637588523
"868","Maryland",2013,"MD","Cerebrovascular disease","Nmbr",1374,"Female",3020732.0352,0.0454856632097467
"869","Maryland",2013,"MD","Heart failure","Nmbr",1904,"Female",3020732.0352,0.0630310791494598
"870","Maryland",2013,"MD","Coronary heart disease","Nmbr",3229,"Female",3020732.0352,0.106894618998743
"871","Massachusetts",2013,"MA","Chronic obstructive pulmonary disease","Nmbr",2338,"Female",3413979.2328,0.0684831347987572
"872","Massachusetts",2013,"MA","Cerebrovascular disease","Nmbr",1496,"Female",3413979.2328,0.0438198330448848
"873","Massachusetts",2013,"MA","Heart failure","Nmbr",3730,"Female",3413979.2328,0.10925666928972
"874","Massachusetts",2013,"MA","Coronary heart disease","Nmbr",2994,"Female",3413979.2328,0.0876982487542682
"875","Massachusetts",2013,"MA","Cardiovascular disease","Nmbr",8088,"Female",3413979.2328,0.236908295231971
"876","Michigan",2013,"MI","Heart failure","Nmbr",6276,"Female",5038169.49328,0.124569052477711
"877","Michigan",2013,"MI","Chronic obstructive pulmonary disease","Nmbr",5276,"Female",5038169.49328,0.104720573752773
"878","Michigan",2013,"MI","Cardiovascular disease","Nmbr",15531,"Female",5038169.49328,0.308266723077013
"879","Michigan",2013,"MI","Coronary heart disease","Nmbr",6890,"Female",5038169.49328,0.136756018414823
"880","Michigan",2013,"MI","Cerebrovascular disease","Nmbr",2597,"Female",5038169.49328,0.0515464992486641
"881","Minnesota",2013,"MN","Heart failure","Nmbr",3129,"Female",2758404.90408,0.113435123152944
"882","Minnesota",2013,"MN","Cardiovascular disease","Nmbr",5355,"Female",2758404.90408,0.194133935597321
"883","Minnesota",2013,"MN","Chronic obstructive pulmonary disease","Nmbr",2315,"Female",2758404.90408,0.0839253148287203
"884","Minnesota",2013,"MN","Coronary heart disease","Nmbr",1566,"Female",2758404.90408,0.0567719408301408
"885","Minnesota",2013,"MN","Cerebrovascular disease","Nmbr",1203,"Female",2758404.90408,0.0436121614423112
"886","Mississippi",2013,"MS","Heart failure","Nmbr",2429,"Female",1522047.86688,0.159587622232876
"887","Mississippi",2013,"MS","Cardiovascular disease","Nmbr",4873,"Female",1522047.86688,0.320160758806424
"888","Mississippi",2013,"MS","Cerebrovascular disease","Nmbr",868,"Female",1522047.86688,0.0570284298469067
"889","Mississippi",2013,"MS","Chronic obstructive pulmonary disease","Nmbr",1474,"Female",1522047.86688,0.0968432092100696
"890","Mississippi",2013,"MS","Coronary heart disease","Nmbr",1553,"Female",1522047.86688,0.102033584737611
"891","Missouri",2013,"MO","Cardiovascular disease","Nmbr",9006,"Female",3075522.12704,0.292828327288535
"892","Missouri",2013,"MO","Coronary heart disease","Nmbr",3711,"Female",3075522.12704,0.120662438659533
"893","Missouri",2013,"MO","Cerebrovascular disease","Nmbr",1736,"Female",3075522.12704,0.0564457002190647
"894","Missouri",2013,"MO","Heart failure","Nmbr",3566,"Female",3075522.12704,0.115947792039853
"895","Missouri",2013,"MO","Chronic obstructive pulmonary disease","Nmbr",3352,"Female",3075522.12704,0.108989623925291
"896","Montana",2013,"MT","Heart failure","Nmbr",574,"Female",516208.88976,0.111195295429118
"897","Montana",2013,"MT","Cerebrovascular disease","Nmbr",280,"Female",516208.88976,0.0542416075263988
"898","Montana",2013,"MT","Chronic obstructive pulmonary disease","Nmbr",595,"Female",516208.88976,0.115263415993598
"899","Montana",2013,"MT","Cardiovascular disease","Nmbr",1243,"Female",516208.88976,0.240793993411835
"900","Montana",2013,"MT","Coronary heart disease","Nmbr",404,"Female",516208.88976,0.0782628908595183
"901","Nebraska",2013,"NE","Cerebrovascular disease","Nmbr",475,"Female",951249.384,0.0499343293135841
"902","Nebraska",2013,"NE","Chronic obstructive pulmonary disease","Nmbr",934,"Female",951249.384,0.098186660166079
"903","Nebraska",2013,"NE","Cardiovascular disease","Nmbr",2409,"Female",951249.384,0.253245893297735
"904","Nebraska",2013,"NE","Coronary heart disease","Nmbr",734,"Female",951249.384,0.0771616794024647
"905","Nebraska",2013,"NE","Heart failure","Nmbr",1251,"Female",951249.384,0.131511254676408
"906","Nevada",2013,"NV","Chronic obstructive pulmonary disease","Nmbr",1169,"Female",1419961.45008,0.0823261786391552
"907","Nevada",2013,"NV","Cerebrovascular disease","Nmbr",487,"Female",1419961.45008,0.0342967057290578
"908","Nevada",2013,"NV","Heart failure","Nmbr",597,"Female",1419961.45008,0.0420433949081058
"909","Nevada",2013,"NV","Coronary heart disease","Nmbr",1090,"Female",1419961.45008,0.0767626473196572
"910","Nevada",2013,"NV","Cardiovascular disease","Nmbr",2959,"Female",1419961.45008,0.20838593891639
"911","New Hampshire",2013,"NH","Heart failure","Nmbr",754,"Female",673075.2208,0.112023140460262
"912","New Hampshire",2013,"NH","Coronary heart disease","Nmbr",644,"Female",673075.2208,0.0956802419846266
"913","New Hampshire",2013,"NH","Cerebrovascular disease","Nmbr",252,"Female",673075.2208,0.0374400946896365
"914","New Hampshire",2013,"NH","Chronic obstructive pulmonary disease","Nmbr",716,"Female",673075.2208,0.106377411895951
"915","New Hampshire",2013,"NH","Cardiovascular disease","Nmbr",1549,"Female",673075.2208,0.230137724897805
"916","New Jersey",2013,"NJ","Cerebrovascular disease","Nmbr",2011,"Female",4532789.56992,0.044365615676165
"917","New Jersey",2013,"NJ","Coronary heart disease","Nmbr",5394,"Female",4532789.56992,0.118999567855412
"918","New Jersey",2013,"NJ","Chronic obstructive pulmonary disease","Nmbr",3417,"Female",4532789.56992,0.075384042150898
"919","New Jersey",2013,"NJ","Heart failure","Nmbr",4298,"Female",4532789.56992,0.0948201970045536
"920","New Jersey",2013,"NJ","Cardiovascular disease","Nmbr",12112,"Female",4532789.56992,0.267208521665694
"921","New Mexico",2013,"NM","Coronary heart disease","Nmbr",955,"Female",1061976.5832,0.0899266532904471
"922","New Mexico",2013,"NM","Chronic obstructive pulmonary disease","Nmbr",922,"Female",1061976.5832,0.0868192401400965
"923","New Mexico",2013,"NM","Cerebrovascular disease","Nmbr",414,"Female",1061976.5832,0.0389839104316702
"924","New Mexico",2013,"NM","Heart failure","Nmbr",862,"Female",1061976.5832,0.0811693980485501
"925","New Mexico",2013,"NM","Cardiovascular disease","Nmbr",2121,"Female",1061976.5832,0.199721917936166
"926","New York",2013,"NY","Heart failure","Nmbr",8885,"Female",10020372.36416,0.0886693595517378
"927","New York",2013,"NY","Chronic obstructive pulmonary disease","Nmbr",6952,"Female",10020372.36416,0.0693786592688443
"928","New York",2013,"NY","Cardiovascular disease","Nmbr",28599,"Female",10020372.36416,0.28540855529771
"929","New York",2013,"NY","Cerebrovascular disease","Nmbr",3743,"Female",10020372.36416,0.0373539012720489
"930","New York",2013,"NY","Coronary heart disease","Nmbr",15547,"Female",10020372.36416,0.155153914794695
"931","North Carolina",2013,"NC","Heart failure","Nmbr",4980,"Female",5010143.43616,0.099398351832755
"932","North Carolina",2013,"NC","Chronic obstructive pulmonary disease","Nmbr",4726,"Female",5010143.43616,0.0943286366991165
"933","North Carolina",2013,"NC","Coronary heart disease","Nmbr",4535,"Female",5010143.43616,0.0905163705946876
"934","North Carolina",2013,"NC","Cardiovascular disease","Nmbr",11891,"Female",5010143.43616,0.237338514386203
