"","states","year","disease","deathpop","class","population","ratio"
"648","Ohio",2010,"Mortality from coronary heart disease",9039,"Male",11540766,0.000783223574587683
"649","Ohio",2010,"Mortality from coronary heart disease",7727,"Female",11540766,0.000669539612881849
"650","Oklahoma",2010,"Mortality from cerebrovascular disease (stroke)",1980,"Overall",3759596,0.000526652331793097
"651","Oklahoma",2010,"Mortality from heart failure",2769,"Female",3759596,0.000736515306431861
"652","Oklahoma",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",4922,"Overall",3759596,0.00130918322075031
"653","Oklahoma",2010,"Mortality from diseases of the heart",9426,"Overall",3759596,0.00250718428256653
"654","Oklahoma",2010,"Mortality from diseases of the heart",4590,"Female",3759596,0.00122087586006582
"655","Oklahoma",2010,"Mortality from coronary heart disease",2811,"Female",3759596,0.000747686719530503
"656","Oklahoma",2010,"Mortality from coronary heart disease",3336,"Male",3759596,0.000887329383263521
"657","Oklahoma",2010,"Mortality from heart failure",5170,"Overall",3759596,0.00137514775523753
"658","Oklahoma",2010,"Mortality from heart failure",2401,"Male",3759596,0.00063863244880567
"659","Oklahoma",2010,"Mortality from total cardiovascular disease",12110,"Overall",3759596,0.00322109077677495
"660","Oklahoma",2010,"Mortality from total cardiovascular disease",6171,"Female",3759596,0.00164139976742182
"661","Oklahoma",2010,"Mortality from cerebrovascular disease (stroke)",1204,"Female",3759596,0.000320247175494388
"662","Oklahoma",2010,"Mortality from cerebrovascular disease (stroke)",776,"Male",3759596,0.000206405156298709
"663","Oklahoma",2010,"Mortality from diseases of the heart",4836,"Male",3759596,0.00128630842250072
"664","Oklahoma",2010,"Mortality from coronary heart disease",6147,"Overall",3759596,0.00163501610279402
"665","Oklahoma",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2391,"Female",3759596,0.000635972588544088
"666","Oklahoma",2010,"Mortality from total cardiovascular disease",5939,"Male",3759596,0.00157969100935313
"667","Oklahoma",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2531,"Male",3759596,0.000673210632206226
"668","Oregon",2010,"Mortality from heart failure",2066,"Male",3837972,0.000538305125727858
"669","Oregon",2010,"Mortality from total cardiovascular disease",8818,"Overall",3837972,0.00229756756953933
"670","Oregon",2010,"Mortality from cerebrovascular disease (stroke)",767,"Male",3837972,0.000199845126540788
"671","Oregon",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",3887,"Overall",3837972,0.0010127744548423
"672","Oregon",2010,"Mortality from coronary heart disease",3521,"Overall",3837972,0.000917411591330005
"673","Oregon",2010,"Mortality from coronary heart disease",1411,"Female",3837972,0.00036764207763892
"674","Oregon",2010,"Mortality from coronary heart disease",2110,"Male",3837972,0.000549769513691085
"675","Oregon",2010,"Mortality from cerebrovascular disease (stroke)",1026,"Female",3837972,0.000267328682960689
"676","Oregon",2010,"Mortality from total cardiovascular disease",4424,"Female",3837972,0.00115269209884804
"677","Oregon",2010,"Mortality from cerebrovascular disease (stroke)",1793,"Overall",3837972,0.000467173809501476
"678","Oregon",2010,"Mortality from diseases of the heart",3253,"Male",3837972,0.00084758304646308
"679","Oregon",2010,"Mortality from diseases of the heart",6198,"Overall",3837972,0.00161491537718358
"680","Oregon",2010,"Mortality from total cardiovascular disease",4394,"Male",3837972,0.00114487547069129
"681","Oregon",2010,"Mortality from heart failure",4476,"Overall",3837972,0.0011662409209864
"682","Oregon",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",1880,"Female",3837972,0.000489842031156038
"683","Oregon",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2007,"Male",3837972,0.000522932423686259
"684","Oregon",2010,"Mortality from heart failure",2410,"Female",3837972,0.000627935795258538
"685","Oregon",2010,"Mortality from diseases of the heart",2945,"Female",3837972,0.000767332330720495
"686","Pennsylvania",2010,"Mortality from coronary heart disease",9310,"Female",12712014,0.000732378048041797
"687","Pennsylvania",2010,"Mortality from diseases of the heart",31556,"Overall",12712014,0.00248237612073114
"688","Pennsylvania",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",12258,"Overall",12712014,0.000964284652298212
"689","Pennsylvania",2010,"Mortality from heart failure",8124,"Female",12712014,0.00063908047930092
"690","Pennsylvania",2010,"Mortality from coronary heart disease",19543,"Overall",12712014,0.00153736457496035
"691","Pennsylvania",2010,"Mortality from total cardiovascular disease",40718,"Overall",12712014,0.00320311163911556
"692","Pennsylvania",2010,"Mortality from total cardiovascular disease",21470,"Female",12712014,0.00168895345772904
"693","Pennsylvania",2010,"Mortality from coronary heart disease",10233,"Male",12712014,0.000804986526918551
"694","Pennsylvania",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",6300,"Male",12712014,0.000495594167847833
"695","Pennsylvania",2010,"Mortality from diseases of the heart",15983,"Female",12712014,0.00125731453725586
"696","Pennsylvania",2010,"Mortality from diseases of the heart",15573,"Male",12712014,0.00122506158347529
"697","Pennsylvania",2010,"Mortality from total cardiovascular disease",19248,"Male",12712014,0.00151415818138652
"698","Pennsylvania",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",5958,"Female",12712014,0.000468690484450379
"699","Pennsylvania",2010,"Mortality from heart failure",6287,"Male",12712014,0.000494571513215766
"700","Pennsylvania",2010,"Mortality from cerebrovascular disease (stroke)",2601,"Male",12712014,0.00020460959215432
"701","Pennsylvania",2010,"Mortality from cerebrovascular disease (stroke)",6701,"Overall",12712014,0.000527139129960052
"702","Pennsylvania",2010,"Mortality from cerebrovascular disease (stroke)",4100,"Female",12712014,0.000322529537805732
"703","Pennsylvania",2010,"Mortality from heart failure",14411,"Overall",12712014,0.00113365199251669
"704","Rhode Island",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",572,"Female",1053219,0.000543096924761137
"705","Rhode Island",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",580,"Male",1053219,0.000550692685946608
"706","Rhode Island",2010,"Mortality from diseases of the heart",1223,"Female",1053219,0.00116120199122879
"707","Rhode Island",2010,"Mortality from cerebrovascular disease (stroke)",431,"Overall",1053219,0.00040922163386722
"708","Rhode Island",2010,"Mortality from heart failure",579,"Male",1053219,0.000549743215798424
"709","Rhode Island",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",1152,"Overall",1053219,0.00109378961070774
"710","Rhode Island",2010,"Mortality from coronary heart disease",818,"Male",1053219,0.000776666581214353
"711","Rhode Island",2010,"Mortality from diseases of the heart",1099,"Male",1053219,0.001043467692854
"712","Rhode Island",2010,"Mortality from heart failure",726,"Female",1053219,0.000689315327581443
"713","Rhode Island",2010,"Mortality from diseases of the heart",2322,"Overall",1053219,0.0022046696840828
"714","Rhode Island",2010,"Mortality from total cardiovascular disease",1347,"Male",1053219,0.00127893628960359
"715","Rhode Island",2010,"Mortality from heart failure",1305,"Overall",1053219,0.00123905854337987
"716","Rhode Island",2010,"Mortality from coronary heart disease",1696,"Overall",1053219,0.00161030137131974
"717","Rhode Island",2010,"Mortality from coronary heart disease",878,"Female",1053219,0.000833634790105382
"718","Rhode Island",2010,"Mortality from total cardiovascular disease",2936,"Overall",1053219,0.00278764435506765
"719","Rhode Island",2010,"Mortality from total cardiovascular disease",1589,"Female",1053219,0.00150870806546407
"720","Rhode Island",2010,"Mortality from cerebrovascular disease (stroke)",265,"Female",1053219,0.000251609589268709
"721","Rhode Island",2010,"Mortality from cerebrovascular disease (stroke)",166,"Male",1053219,0.000157612044598512
"722","South Carolina",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",4254,"Overall",4635894,0.000917622361512148
"723","South Carolina",2010,"Mortality from coronary heart disease",5346,"Overall",4635894,0.00115317563343769
"724","South Carolina",2010,"Mortality from diseases of the heart",5061,"Male",4635894,0.00109169881796262
"725","South Carolina",2010,"Mortality from total cardiovascular disease",12457,"Overall",4635894,0.00268707610657189
"726","South Carolina",2010,"Mortality from cerebrovascular disease (stroke)",2293,"Overall",4635894,0.000494618729418749
"727","South Carolina",2010,"Mortality from cerebrovascular disease (stroke)",1306,"Female",4635894,0.000281714810562968
"728","South Carolina",2010,"Mortality from cerebrovascular disease (stroke)",987,"Male",4635894,0.000212903918855781
"729","South Carolina",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2228,"Male",4635894,0.000480597701327942
"730","South Carolina",2010,"Mortality from heart failure",2159,"Male",4635894,0.00046571384073924
"731","South Carolina",2010,"Mortality from heart failure",2414,"Female",4635894,0.000520719412480096
"732","South Carolina",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2026,"Female",4635894,0.000437024660184206
"733","South Carolina",2010,"Mortality from diseases of the heart",4234,"Female",4635894,0.00091330819902267
"734","South Carolina",2010,"Mortality from heart failure",4573,"Overall",4635894,0.000986433253219336
"735","South Carolina",2010,"Mortality from total cardiovascular disease",6005,"Female",4635894,0.00129532728746602
"736","South Carolina",2010,"Mortality from coronary heart disease",3154,"Male",4635894,0.000680343424590813
"737","South Carolina",2010,"Mortality from diseases of the heart",9295,"Overall",4635894,0.00200500701698529
"738","South Carolina",2010,"Mortality from total cardiovascular disease",6452,"Male",4635894,0.00139174881910587
"739","South Carolina",2010,"Mortality from coronary heart disease",2192,"Female",4635894,0.00047283220884688
"740","South Dakota",2010,"Mortality from cerebrovascular disease (stroke)",259,"Female",816299,0.000317285700460248
"741","South Dakota",2010,"Mortality from cerebrovascular disease (stroke)",157,"Male",816299,0.000192331486379378
"742","South Dakota",2010,"Mortality from cerebrovascular disease (stroke)",416,"Overall",816299,0.000509617186839626
"743","South Dakota",2010,"Mortality from heart failure",540,"Female",816299,0.000661522309839899
"744","South Dakota",2010,"Mortality from total cardiovascular disease",1063,"Male",816299,0.00130221891733299
"745","South Dakota",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",883,"Overall",816299,0.00108171148071969
"746","South Dakota",2010,"Mortality from total cardiovascular disease",1157,"Female",816299,0.00141737280089771
"747","South Dakota",2010,"Mortality from coronary heart disease",542,"Female",816299,0.000663972392468936
"748","South Dakota",2010,"Mortality from diseases of the heart",797,"Female",816299,0.000976357927671111
"749","South Dakota",2010,"Mortality from diseases of the heart",819,"Male",816299,0.00100330883659051
"750","South Dakota",2010,"Mortality from heart failure",412,"Male",816299,0.000504717021581553
"751","South Dakota",2010,"Mortality from coronary heart disease",1206,"Overall",816299,0.00147739982530911
"752","South Dakota",2010,"Mortality from coronary heart disease",664,"Male",816299,0.000813427432840173
"753","South Dakota",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",520,"Male",816299,0.000637021483549533
"754","South Dakota",2010,"Mortality from total cardiovascular disease",2220,"Overall",816299,0.0027195917182307
"755","South Dakota",2010,"Mortality from diseases of the heart",1616,"Overall",816299,0.00197966676426162
"756","South Dakota",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",363,"Female",816299,0.000444689997170155
"757","South Dakota",2010,"Mortality from heart failure",952,"Overall",816299,0.00116623933142145
"758","Tennessee",2010,"Mortality from cerebrovascular disease (stroke)",1276,"Male",6356585,0.000200736716334321
"759","Tennessee",2010,"Mortality from coronary heart disease",5673,"Male",6356585,0.000892460338373513
"760","Tennessee",2010,"Mortality from diseases of the heart",7032,"Female",6356585,0.00110625438030011
"761","Tennessee",2010,"Mortality from total cardiovascular disease",19027,"Overall",6356585,0.00299327390414822
"762","Tennessee",2010,"Mortality from total cardiovascular disease",9619,"Female",6356585,0.00151323391412213
"763","Tennessee",2010,"Mortality from diseases of the heart",14582,"Overall",6356585,0.00229399905767012
"764","Tennessee",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",7176,"Overall",6356585,0.00112890805361684
"765","Tennessee",2010,"Mortality from heart failure",6377,"Overall",6356585,0.00100321163014417
"766","Tennessee",2010,"Mortality from coronary heart disease",10330,"Overall",6356585,0.00162508642612346
"767","Tennessee",2010,"Mortality from coronary heart disease",4657,"Female",6356585,0.000732626087749948
"768","Tennessee",2010,"Mortality from heart failure",3561,"Female",6356585,0.000560206463061534
"769","Tennessee",2010,"Mortality from cerebrovascular disease (stroke)",1929,"Female",6356585,0.00030346483213864
"770","Tennessee",2010,"Mortality from total cardiovascular disease",9408,"Male",6356585,0.00148003999002609
"771","Tennessee",2010,"Mortality from diseases of the heart",7550,"Male",6356585,0.00118774467737
"772","Tennessee",2010,"Mortality from cerebrovascular disease (stroke)",3205,"Overall",6356585,0.000504201548472962
"773","Tennessee",2010,"Mortality from heart failure",2816,"Male",6356585,0.00044300516708264
"774","Tennessee",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",3661,"Male",6356585,0.000575938180642593
"775","Tennessee",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",3515,"Female",6356585,0.000552969872974246
"776","Texas",2010,"Mortality from coronary heart disease",10242,"Female",25244363,0.000405714337097751
"777","Texas",2010,"Mortality from coronary heart disease",23868,"Overall",25244363,0.000945478402445726
"778","Texas",2010,"Mortality from total cardiovascular disease",50902,"Overall",25244363,0.00201637094190097
"779","Texas",2010,"Mortality from coronary heart disease",13626,"Male",25244363,0.000539764065347975
"780","Texas",2010,"Mortality from cerebrovascular disease (stroke)",5350,"Female",25244363,0.000211928500632002
"781","Texas",2010,"Mortality from cerebrovascular disease (stroke)",3830,"Male",25244363,0.0001517170387702
"782","Texas",2010,"Mortality from diseases of the heart",20286,"Male",25244363,0.000803585339031926
"783","Texas",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",17536,"Overall",25244363,0.000694650128426691
"784","Texas",2010,"Mortality from heart failure",9125,"Male",25244363,0.000361466835190098
"785","Texas",2010,"Mortality from heart failure",10490,"Female",25244363,0.000415538312454151
"786","Texas",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",8306,"Female",25244363,0.000329023948831666
"787","Texas",2010,"Mortality from cerebrovascular disease (stroke)",9180,"Overall",25244363,0.000363645539402202
"788","Texas",2010,"Mortality from total cardiovascular disease",25700,"Male",25244363,0.00101804905911074
"789","Texas",2010,"Mortality from diseases of the heart",17967,"Female",25244363,0.00071172324688882
"790","Texas",2010,"Mortality from heart failure",19615,"Overall",25244363,0.000777005147644248
"791","Texas",2010,"Mortality from total cardiovascular disease",25202,"Female",25244363,0.000998321882790229
"792","Texas",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",9230,"Male",25244363,0.000365626179595025
"793","Texas",2010,"Mortality from diseases of the heart",38253,"Overall",25244363,0.00151530858592075
"794","United States",2010,"Mortality from coronary heart disease",379559,"Overall",309346863,0.00122696896396198
"795","United States",2010,"Mortality from cerebrovascular disease (stroke)",129476,"Overall",309346863,0.000418546348730874
"796","United States",2010,"Mortality from total cardiovascular disease",784454,"Overall",309346863,0.00253583951811401
"797","United States",2010,"Mortality from diseases of the heart",597689,"Overall",309346863,0.00193209976077889
"798","United States",2010,"Mortality from heart failure",279098,"Overall",309346863,0.000902217004217689
"799","United States",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",259733,"Overall",309346863,0.000839617371519943
"800","Utah",2010,"Mortality from diseases of the heart",1517,"Male",2775426,0.000546582758826933
"801","Utah",2010,"Mortality from coronary heart disease",557,"Female",2775426,0.000200689912107186
"802","Utah",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",636,"Male",2775426,0.000229154010951832
"803","Utah",2010,"Mortality from heart failure",1748,"Overall",2775426,0.000629813225068872
"804","Utah",2010,"Mortality from total cardiovascular disease",3912,"Overall",2775426,0.00140951335038297
"805","Utah",2010,"Mortality from total cardiovascular disease",1938,"Female",2775426,0.000698271184315489
"806","Utah",2010,"Mortality from diseases of the heart",2889,"Overall",2775426,0.00104092128559724
"807","Utah",2010,"Mortality from diseases of the heart",1372,"Female",2775426,0.000494338526770305
"808","Utah",2010,"Mortality from cerebrovascular disease (stroke)",415,"Female",2775426,0.000149526595196557
"809","Utah",2010,"Mortality from cerebrovascular disease (stroke)",324,"Male",2775426,0.000116738835767915
"810","Utah",2010,"Mortality from coronary heart disease",1442,"Overall",2775426,0.000519559880176953
"811","Utah",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",405,"Female",2775426,0.000145923544709893
"812","Utah",2010,"Mortality from coronary heart disease",885,"Male",2775426,0.000318869968069767
"813","Utah",2010,"Mortality from heart failure",821,"Male",2775426,0.000295810444955117
"814","Utah",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",1041,"Overall",2775426,0.000375077555661725
"815","Utah",2010,"Mortality from cerebrovascular disease (stroke)",739,"Overall",2775426,0.000266265430964472
"816","Utah",2010,"Mortality from total cardiovascular disease",1974,"Male",2775426,0.000711242166067479
"817","Utah",2010,"Mortality from heart failure",927,"Female",2775426,0.000334002780113756
"818","Vermont",2010,"Mortality from diseases of the heart",551,"Female",625984,0.000880214190778039
"819","Vermont",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",389,"Male",625984,0.000621421633779777
"820","Vermont",2010,"Mortality from diseases of the heart",1172,"Overall",625984,0.00187225232593804
"821","Vermont",2010,"Mortality from total cardiovascular disease",797,"Male",625984,0.00127319548103466
"822","Vermont",2010,"Mortality from diseases of the heart",621,"Male",625984,0.000992038135160004
"823","Vermont",2010,"Mortality from total cardiovascular disease",1556,"Overall",625984,0.00248568653511911
"824","Vermont",2010,"Mortality from total cardiovascular disease",759,"Female",625984,0.00121249105408445
"825","Vermont",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",780,"Overall",625984,0.00124603823739904
"826","Vermont",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",391,"Female",625984,0.000624616603619262
"827","Vermont",2010,"Mortality from coronary heart disease",466,"Male",625984,0.000744427972599939
"828","Vermont",2010,"Mortality from heart failure",676,"Overall",625984,0.00107989980574583
"829","Vermont",2010,"Mortality from heart failure",307,"Male",625984,0.000490427870360904
"830","Vermont",2010,"Mortality from heart failure",369,"Female",625984,0.00058947193538493
"831","Vermont",2010,"Mortality from cerebrovascular disease (stroke)",265,"Overall",625984,0.000423333503731725
"832","Vermont",2010,"Mortality from cerebrovascular disease (stroke)",147,"Female",625984,0.000234830283202127
"833","Vermont",2010,"Mortality from cerebrovascular disease (stroke)",118,"Male",625984,0.000188503220529598
"834","Vermont",2010,"Mortality from coronary heart disease",789,"Overall",625984,0.00126041560167672
"835","Vermont",2010,"Mortality from coronary heart disease",323,"Female",625984,0.000515987629076782
"836","Virginia",2010,"Mortality from diseases of the heart",6920,"Male",8025787,0.000862220739224702
"837","Virginia",2010,"Mortality from diseases of the heart",6484,"Female",8025787,0.000807895848718637
"838","Virginia",2010,"Mortality from coronary heart disease",4374,"Male",8025787,0.000544993282278735
"839","Virginia",2010,"Mortality from coronary heart disease",7759,"Overall",8025787,0.000966758773937061
"840","Virginia",2010,"Mortality from coronary heart disease",3385,"Female",8025787,0.000421765491658326
"841","Virginia",2010,"Mortality from cerebrovascular disease (stroke)",3293,"Overall",8025787,0.000410302441368055
"842","Virginia",2010,"Mortality from cerebrovascular disease (stroke)",1308,"Male",8025787,0.000162974671518195
"843","Virginia",2010,"Mortality from total cardiovascular disease",9179,"Female",8025787,0.00114368846319993
"844","Virginia",2010,"Mortality from diseases of the heart",13404,"Overall",8025787,0.00167011658794334
"845","Virginia",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2667,"Male",8025787,0.000332303860045127
"846","Virginia",2010,"Mortality from cerebrovascular disease (stroke)",1985,"Female",8025787,0.00024732776984986
"847","Virginia",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",5223,"Overall",8025787,0.000650777300718297
"848","Virginia",2010,"Mortality from heart failure",6087,"Overall",8025787,0.000758430294748665
"849","Virginia",2010,"Mortality from heart failure",2709,"Male",8025787,0.000337536991699381
"850","Virginia",2010,"Mortality from total cardiovascular disease",8770,"Male",8025787,0.00109272772875732
"851","Virginia",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2556,"Female",8025787,0.00031847344067317
"852","Virginia",2010,"Mortality from total cardiovascular disease",17949,"Overall",8025787,0.00223641619195725
"853","Virginia",2010,"Mortality from heart failure",3378,"Female",8025787,0.000420893303049284
"854","Washington",2010,"Mortality from heart failure",6393,"Overall",6743060,0.000948085883856884
"855","Washington",2010,"Mortality from coronary heart disease",2876,"Female",6743060,0.000426512592205912
"856","Washington",2010,"Mortality from coronary heart disease",4137,"Male",6743060,0.000613519678009687
"857","Washington",2010,"Mortality from heart failure",2947,"Male",6743060,0.000437041936450217
"858","Washington",2010,"Mortality from cerebrovascular disease (stroke)",1038,"Male",6743060,0.000153936046839269
"859","Washington",2010,"Mortality from coronary heart disease",7013,"Overall",6743060,0.0010400322702156
"860","Washington",2010,"Mortality from cerebrovascular disease (stroke)",2548,"Overall",6743060,0.000377869987809689
"861","Washington",2010,"Mortality from diseases of the heart",5690,"Male",6743060,0.000843830545775953
"862","Washington",2010,"Mortality from heart failure",3446,"Female",6743060,0.000511043947406667
"863","Washington",2010,"Mortality from diseases of the heart",10602,"Overall",6743060,0.00157228320673403
"864","Washington",2010,"Mortality from diseases of the heart",4912,"Female",6743060,0.000728452660958081
"865","Washington",2010,"Mortality from total cardiovascular disease",7029,"Female",6743060,0.00104240508018615
"866","Washington",2010,"Mortality from total cardiovascular disease",14300,"Overall",6743060,0.00212069891117682
"867","Washington",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2822,"Female",6743060,0.000418504358555315
"868","Washington",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",5745,"Overall",6743060,0.00085198708004971
"869","Washington",2010,"Mortality from cerebrovascular disease (stroke)",1510,"Female",6743060,0.00022393394097042
"870","Washington",2010,"Mortality from total cardiovascular disease",7271,"Male",6743060,0.00107829383099068
"871","Washington",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2923,"Male",6743060,0.000433482721494396
"872","West Virginia",2010,"Mortality from cerebrovascular disease (stroke)",692,"Female",1854225,0.000373201741967668
"873","West Virginia",2010,"Mortality from cerebrovascular disease (stroke)",412,"Male",1854225,0.000222195256778438
"874","West Virginia",2010,"Mortality from heart failure",1483,"Female",1854225,0.000799795062627243
"875","West Virginia",2010,"Mortality from total cardiovascular disease",3196,"Male",1854225,0.00172363116665993
"876","West Virginia",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",1599,"Male",1854225,0.000862354892205638
"877","West Virginia",2010,"Mortality from diseases of the heart",4897,"Overall",1854225,0.0026409955641845
"878","West Virginia",2010,"Mortality from total cardiovascular disease",6538,"Overall",1854225,0.00352600142916852
"879","West Virginia",2010,"Mortality from coronary heart disease",1420,"Female",1854225,0.000765818603459666
"880","West Virginia",2010,"Mortality from coronary heart disease",1705,"Male",1854225,0.000919521633027276
"881","West Virginia",2010,"Mortality from heart failure",2695,"Overall",1854225,0.00145343741994634
"882","West Virginia",2010,"Mortality from heart failure",1212,"Male",1854225,0.000653642357319096
"883","West Virginia",2010,"Mortality from total cardiovascular disease",3342,"Female",1854225,0.0018023702625086
"884","West Virginia",2010,"Mortality from diseases of the heart",2519,"Male",1854225,0.00135851905782739
"885","West Virginia",2010,"Mortality from cerebrovascular disease (stroke)",1104,"Overall",1854225,0.000595396998746107
"886","West Virginia",2010,"Mortality from coronary heart disease",3125,"Overall",1854225,0.00168534023648694
"887","West Virginia",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",3036,"Overall",1854225,0.00163734174655179
"888","West Virginia",2010,"Mortality from diseases of the heart",2378,"Female",1854225,0.0012824765063571
"889","West Virginia",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",1437,"Female",1854225,0.000774986854346155
"890","Wisconsin",2010,"Mortality from heart failure",2587,"Male",5690204,0.000454640993539072
"891","Wisconsin",2010,"Mortality from heart failure",5764,"Overall",5690204,0.00101296895506734
"892","Wisconsin",2010,"Mortality from cerebrovascular disease (stroke)",1555,"Female",5690204,0.000273276669869832
"893","Wisconsin",2010,"Mortality from diseases of the heart",5432,"Female",5690204,0.000954623067995453
"894","Wisconsin",2010,"Mortality from cerebrovascular disease (stroke)",2609,"Overall",5690204,0.000458507287260703
"895","Wisconsin",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2425,"Male",5690204,0.00042617101249797
"896","Wisconsin",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",2273,"Female",5690204,0.000399458437693974
"897","Wisconsin",2010,"Mortality from diseases of the heart",11115,"Overall",5690204,0.00195335703254224
"898","Wisconsin",2010,"Mortality from heart failure",3177,"Female",5690204,0.000558327961528269
"899","Wisconsin",2010,"Mortality from coronary heart disease",2953,"Female",5690204,0.000518962061817116
"900","Wisconsin",2010,"Mortality from coronary heart disease",3810,"Male",5690204,0.000669571776337017
"901","Wisconsin",2010,"Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >=45 years",4698,"Overall",5690204,0.000825629450191944
"902","Wisconsin",2010,"Mortality from total cardiovascular disease",14769,"Overall",5690204,0.00259551327158042
"903","Wisconsin",2010,"Mortality from total cardiovascular disease",7552,"Female",5690204,0.00132719319026172
"904","Wisconsin",2010,"Mortality from total cardiovascular disease",7217,"Male",5690204,0.0012683200813187
"905","Wisconsin",2010,"Mortality from diseases of the heart",5683,"Male",5690204,0.00099873396454679
"906","Wisconsin",2010,"Mortality from cerebrovascular disease (stroke)",1054,"Male",5690204,0.00018523061739087
"907","Wisconsin",2010,"Mortality from coronary heart disease",6763,"Overall",5690204,0.00118853383815413
"908","Wyoming",2010,"Mortality from total cardiovascular disease",613,"Male",564516,0.00108588596248822
"909","Wyoming",2010,"Mortality from heart failure",282,"Female",564516,0.000499542971324108
"910","Wyoming",2010,"Mortality from total cardiovascular disease",619,"Female",564516,0.00109651453634618
"911","Wyoming",2010,"Mortality from diseases of the heart",508,"Male",564516,0.000899885919973925
"912","Wyoming",2010,"Mortality from total cardiovascular disease",1232,"Overall",564516,0.0021824004988344
"913","Wyoming",2010,"Mortality from coronary heart disease",558,"Overall",564516,0.000988457368790256
"914","Wyoming",2010,"Mortality from coronary heart disease",325,"Male",564516,0.000575714417306152
"915","Wyoming",2010,"Mortality from heart failure",233,"Male",564516,0.000412742951484103
"916","Wyoming",2010,"Mortality from diseases of the heart",962,"Overall",564516,0.00170411467522621
"917","Wyoming",2010,"Mortality from diseases of the heart",454,"Female",564516,0.000804228755252287
"918","Wyoming",2010,"Mortality from heart failure",515,"Overall",564516,0.000912285922808211
"919","Wyoming",2010,"Mortality from cerebrovascular disease (stroke)",133,"Female",564516,0.000235600053851441
"920","Wyoming",2010,"Mortality from cerebrovascular disease (stroke)",71,"Male",564516,0.00012577145731919
"921","Wyoming",2010,"Mortality from coronary heart disease",233,"Female",564516,0.000412742951484103
"922","Wyoming",2010,"Mortality from cerebrovascular disease (stroke)",204,"Overall",564516,0.000361371511170631
